tau,A1,A2,A3,A4,A5,Mean,Error
1,15.6,16.8,17.4,15.8,15.4,16.2,0.344093011
2,15.4,14.2,15.8,16,14.8,15.24,0.296108088
4,15.8,13.8,17,14.6,16.4,15.52,0.523373671
8,14.6,12.8,13.6,13,14,13.6,0.293938769
12,12.8,13,12.8,13.6,13.8,13.2,0.18761663
16,11.6,13,13.4,13.2,12.4,12.72,0.29175332
20,11.8,12,12.2,11.6,11.4,11.8,0.126491106
24,10.8,11.4,12.4,11.4,11.8,11.56,0.235966099
28,9.4,10,9.6,11.4,9.6,10,0.324961536
32,10.2,9.4,9.4,10.6,11.4,10.2,0.339411255
48,7.4,8.6,8.4,10.4,9.8,8.92,0.475310425
64,8.4,6.8,8.2,10,7,8.08,0.514120608
