tau, A1, A2, A3, A4, A5, A6, A7, A8, A9, A10,SysUncertainty
1,18,19.2,18,18.4,18.4,19.2,20,19.2,20,18.8,0.4
2,16,17.2,16.8,16.8,16.8,18.8,16.4,17.6,17.6,16,0.4
3,16,14.4,14.8,16,14.8,15.6,16,16.4,15.6,15.2,0.4
4,14,16,14.4,13.2,12.8,13.6,14,14.4,14,13.2,0.4
5,12.4,12.4,14.4,10.8,14.4,11.6,14,12,13.6,11.6,0.4
6,10.4,11.2,12,11.2,9.6,12.4,11.6,10.4,12.4,12,0.4
7,11.2,13.2,9.6,10,10.4,10.4,10,9.6,9.6,12.8,0.4
8,8,10.8,9.2,7.6,12,8.8,8,9.2,9.6,10.4,0.4
9,7.2,8.8,7.2,9.6,8.4,6.4,8.4,7.6,9.2,8.4,0.4
10,6.8,8,7.2,6,7.6,9.6,9.6,6.4,8,9.2,0.4
11,6.4,6.4,8,7.2,7.6,8,5.2,10,5.2,7.6,0.4
12,6,5.2,6.8,5.6,8,4.8,5.6,6.4,4.8,6.4,0.4
13,6,5.6,4.8,6.8,6,6.8,5.2,6,4,7.2,0.4
14,4.4,4.4,4.4,5.6,4.8,5.6,6.4,5.2,5.2,5.2,0.4
15,6.4,5.6,4,3.2,5.2,4.8,4.8,4.4,4,3.6,0.4
50,0,0,0,0.4,0,0.8,0.8,0.4,0,0,0.4
