tau,A1,A2,A3,A4,A5
1,12.8,12.8,12,12,12.4
5,13.2,12.8,14,13.2,12.4
10,14,14,14.4,14.4,14.4
15,14.8,15.6,14.4,15.2,13.2
20,15.2,14.8,14.4,14.8,13.6
21,15.2,14.8,14.4,13.6,14.8
22,16,14.4,16.4,14.4,16
23,15.2,14.8,16,14.4,16
24,14.4,14,14.8,14.4,16.8
25,15.6,15.6,16.4,15.6,19.2
26,16.4,16.8,16,15.2,14.4
27,15.6,13.6,14.8,15.2,15.2
28,15.2,18,16.4,16,16.4
29,15.2,16.4,16.4,15.6,12.8
30,16,16,16.8,16.4,15.6
35,15.6,14.4,14.8,17.2,14.8
40,16,15.6,13.6,15.2,17.2
60,16.8,16.8,16,16,16.8
80,16.4,17.6,15.2,18,17.2
100,16,16,18.4,16,16.8
