tau,A1,A2,A3,A4,A5,Mean,Error
3,50,48.8,49.6,49.6,48.8,49.36,0.214662526
6,43.2,40.4,42.4,41.6,41.2,41.76,0.432296195
9,34.8,35.6,35.2,34.4,33.2,34.64,0.368347662
12,27.2,28.4,28,29.6,28,28.24,0.350542437
16,18.8,20.8,20.8,20.4,20.4,20.24,0.331783062
18,16,16.8,16.4,14.8,18,16.4,0.466476152
20,12.8,12,12.8,13.2,12,12.56,0.214662526
24,8.8,8,7.6,8.8,9.2,8.48,0.262906828
26,9.2,8.8,8,9.2,8,8.64,0.242652014
28,12.8,10.8,13.2,10.8,10.4,11.6,0.518459256
32,15.6,17.2,16.4,18,17.6,16.96,0.385331027
40,25.6,26.4,27.2,26.4,26.8,26.48,0.237318352
48,36,36.4,35.2,35.6,36.8,36,0.252982213
64,50.4,50,49.6,49.2,48.8,49.6,0.252982213
96,67.2,67.2,66.4,67.6,65.2,66.72,0.381994764
128,74,76,74,75.2,75.6,74.96,0.368347662
256,79.2,81.6,81.6,80.4,81.2,80.8,0.407921561
